GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gilded-rose-kata,com.gildedrose,GildedRoseRefactored,30,0,2,0,7,0,3,0,2,0
gilded-rose-kata,com.gildedrose,BaseItemUpdater,42,0,6,0,12,0,9,0,6,0
gilded-rose-kata,com.gildedrose,AgedBrieUpdater,17,0,2,0,6,0,3,0,2,0
gilded-rose-kata,com.gildedrose,ConjuredItemUpdater,23,0,2,0,8,0,3,0,2,0
gilded-rose-kata,com.gildedrose,ItemUpdaterFactory,43,0,8,0,10,0,6,0,2,0
gilded-rose-kata,com.gildedrose,SulfurasUpdater,4,0,0,0,2,0,2,0,2,0
gilded-rose-kata,com.gildedrose,BackstagePassUpdater,31,0,6,0,10,0,5,0,2,0
gilded-rose-kata,com.gildedrose,GildedRose,0,243,0,36,0,30,0,20,0,2
gilded-rose-kata,com.gildedrose,Item,18,12,0,0,1,5,1,1,1,1
gilded-rose-kata,com.gildedrose,NormalItemUpdater,17,0,2,0,6,0,3,0,2,0
